postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SW35JN,SW3 5JN,SW,65.8,82.3,331,9,27,72.3,92.2,331,11.3,14.3,36,1,11,13.8,15.5,36,0,0,1,1,12,1,13,262,204,0,67,255,277,543
SW35JP,SW3 5JP,SW,1000,624.3,1000,,14.5,84,718.2,1000,14.8,11.9,20,,1,17.3,5.3,0,0,0,0,2,4,9,13,413,126,,40,599,184,0
SW35JS,SW3 5JS,SW,75.1,83.8,460,,14,69.9,86.8,460,20,17,36,,1,16.9,17.7,36,0,0,0,1,22,1,23,347,292,,65,344,344,358
SW35JW,SW3 5JW,SW,74.6,113.1,460,,,69.6,113,460,20,17.8,36,,,15.5,17.8,36,0,0,0,0,8,1,9,350,100,,,188,350,1652
SW35JX,SW3 5JX,SW,78.1,73.4,79.75,,,73.4,73.4,,19.5,18.2,20,,,18.2,18.2,,0,0,0,0,10,0,10,610,623,,,610,610,
SW35LA,SW3 5LA,SW,78.1,78.6,205,,17,86.4,86.4,,17,14.9,21,,1,16.6,16.6,,0,0,0,1,8,0,8,170,197,,4,191,191,
SW35LB,SW3 5LB,SW,76.3,166.2,593,,18,87.5,176.8,504.3,20,21.1,39,,1,18.6,22.6,37,0,0,0,1,11,3,14,496,306,,17,531,460,199
SW35LD,SW3 5LD,SW,77.8,113.1,460,,24,70.2,125.9,460,20,18,36,,9,16.5,19.3,36,0,0,0,1,6,1,7,374,406,,380,353,373,496
SW35LN,SW3 5LN,SW,107,140,593,5,,98.5,145.9,461.3,10,16.3,39,1,,14,17,37,0,0,1,0,20,3,23,164,96,10,,151,164,246
SW35LS,SW3 5LS,SW,56.4,53.4,72.08,,,53.4,53.4,,14.3,14.2,20,,,14.2,14.2,,0,0,0,0,18,0,18,471,260,,,471,471,
SW35LW,SW3 5LW,SW,91.7,143.4,593,,12,100,155.3,505.7,20,17.4,39,,1,15.9,18.9,38,0,0,0,2,19,3,22,144,73,,13,135,117,0
SW35LX,SW3 5LX,SW,64.8,49,79.67,5,20,66,66,,10,11.4,20,1,3.5,15.8,15.8,,0,1,0,2,6,0,6,136,72,72,64,170,170,
SW35NB,SW3 5NB,SW,72,73.9,107,,,73.9,73.9,,18,15.4,20,,,15.4,15.4,,0,0,0,0,7,0,7,151,21,,,151,151,
SW35ND,SW3 5ND,SW,67.7,106.5,460,,21,89.8,111.5,460,13.1,15.4,36,,8,14.6,15.9,36,0,0,0,1,16,1,17,296,201,,391,282,273,129
SW35NF,SW3 5NF,SW,79.7,85.1,205,6,,98.2,98.2,,19.5,14.5,21,1,,16.8,16.8,,0,0,1,0,6,0,6,436,218,30,,504,504,
SW35NN,SW3 5NN,SW,78.9,67.7,107,,17,73.3,73.3,,19.8,15.1,20,,1,16.7,16.7,,0,0,0,1,9,0,9,393,154,,512,336,336,
SW35NP,SW3 5NP,SW,107,128.5,593,,,86.8,128.5,462,10,15.1,39,,,12.3,15.1,37.5,0,0,0,0,16,2,18,284,290,,,248,237,145
SW35NQ,SW3 5NQ,SW,56.4,59.4,107,5,25,81.8,81.8,,10,9.5,19.53,1,7,12.5,12.5,,0,1,0,1,4,0,4,245,227,0,41,297,297,
SW35NR,SW3 5NR,SW,73.7,75.8,205,,17,78.4,78.4,,19.5,15.9,21,,2,16.6,16.6,,0,0,0,1,22,0,22,824,559,,0,824,824,
SW35NT,SW3 5NT,SW,78.1,109,593,9,19,86.1,113.1,396.5,19.5,17.2,39,1,18,15.7,17.6,36.8,0,0,1,1,42,4,46,401,320,0,1012,328,335,410
SW35NU,SW3 5NU,SW,79.7,134,593,,15,94.7,137.8,428.8,20,20,39,,1,18.3,20.6,36.8,0,0,0,1,27,4,31,328,245,,22,310,338,527
SW35NX,SW3 5NX,SW,73.7,69.6,79.67,,,69.6,69.6,,20,18.6,20,,,18.6,18.6,,0,0,0,0,7,0,7,517,445,,,443,443,
SW35NZ,SW3 5NZ,SW,77.5,153.9,460,,,73.5,154,395.5,19.7,22.2,36,,,17.7,22.3,36,0,0,0,0,6,2,8,314,112,,,277,274,266
SW35PN,SW3 5PN,SW,74.6,91.9,331,6,18,94.1,101.2,331,19.5,15.4,36,1,3.3,16.3,16.9,36,0,0,1,3,32,1,33,284,118,1,105,273,283,606
SW35PP,SW3 5PP,SW,48.4,62,107,0,,72.3,72.3,,10,7.3,10.19,0,,8.5,8.5,,1,0,0,0,6,0,6,681,570,94,,779,779,
SW35PS,SW3 5PS,SW,37,61.3,205,6,,72.4,72.4,,5.7,7.5,21,0,,9,9,,0,0,1,0,5,0,5,293,228,3,,351,351,
SW35PT,SW3 5PT,SW,73.3,121.8,331,,12,105.3,137.6,331,8.9,14,36,,2,12.2,15.6,36,0,0,0,1,6,1,7,357,177,,8,303,407,1031
SW35PX,SW3 5PX,SW,107,153.8,331,,19,139.7,187.5,331,10,16.2,36,,4,13.7,19.3,36,0,0,0,1,3,1,4,767,511,,511,1063,831,134
SW35PZ,SW3 5PZ,SW,33.6,89,460,8,,47.6,99.1,460,8.4,10.2,36,1,,7.7,11.3,36,0,0,1,0,7,1,8,387,294,298,,399,349,0
SW35QB,SW3 5QB,SW,92.1,122.5,460,5.5,16.5,90.9,138.4,356.8,10,15.5,36,2,3.5,13.3,17.3,36,0,1,1,2,23,5,28,479,396,94,80,430,501,827
SW35QG,SW3 5QG,SW,70.4,97.2,593,,25,69,101.8,593,20,19.9,39,,16,18.8,20.1,39,0,0,0,1,15,1,16,480,345,,5,511,479,0
SW35QH,SW3 5QH,SW,72.3,99.3,331,,21,71.8,104.2,331,19.5,17.7,36,,1,16.3,18.8,36,0,0,0,1,14,2,16,563,318,,1280,523,483,201
SW35QP,SW3 5QP,SW,54.9,52.7,79.67,4,20.3,58.8,58.8,,18.6,14.4,20,1.3,4.5,16.2,16.2,,1,0,2,4,45,0,45,382,209,0,50,394,394,
SW35QQ,SW3 5QQ,SW,75.4,94.6,460,8,13,80.5,105.8,460,19.5,17.8,36,1,1,18.9,20.1,36,0,0,1,1,14,1,15,425,378,20,0,482,481,460
SW35QS,SW3 5QS,SW,56,62.7,107,5,,66.5,66.5,,10,12.9,20,5,,13.5,13.5,,0,0,1,0,15,0,15,296,76,0,,315,315,
SW35QT,SW3 5QT,SW,75.8,101.2,331,8,,94,105.8,331,10,14.5,36,0,,14.1,15.2,36,0,0,1,0,19,1,20,228,224,7,,197,227,800
SW35QU,SW3 5QU,SW,73.1,118.5,460,8,,84.5,125.9,395.5,19.5,18.3,36,0,,17,19.5,36,0,0,1,0,13,2,15,157,61,0,,165,146,28
SW35QX,SW3 5QX,SW,150,327.2,1000,,,134.6,327.2,832.8,19.8,22.7,36,,,5.2,6.3,9,0,0,0,0,21,8,29,300,234,,,100,83,37
SW35QY,SW3 5QY,SW,150,293.4,1000,2,,113.9,305,910,18.2,15.8,36,1,,5.5,5.6,6,0,1,0,0,19,6,25,151,56,0,,63,48,0
SW35QZ,SW3 5QZ,SW,76.3,68.6,79.67,,,68.7,68.7,,19.5,18.3,20,,,18.2,18.2,,0,0,0,0,9,0,9,362,236,,,362,362,
SW35RA,SW3 5RA,SW,72.2,78.4,205,,11,85.9,85.9,,19.3,15.1,21,,1,16.7,16.7,,0,0,0,1,9,0,9,308,264,,156,325,325,
