postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WC1N1LT,WC1N 1LT,WC,59.5,62,107,,19.5,83.3,83.3,,9.9,8.7,20,,1,12.5,12.5,,0,0,0,2,4,0,4,358,148,,74,411,411,
WC1N1LX,WC1N 1LX,WC,107,88.3,205,7,15,100.2,100.2,,10,10.5,21,1,1,12,12,,0,0,1,1,13,0,13,130,48,467,48,90,90,
WC1N1LY,WC1N 1LY,WC,74,70,79.67,,,70,70,,20,18.6,20,,,18.7,18.7,,0,0,0,0,12,0,12,268,150,,,268,268,
WC1N1NL,WC1N 1NL,WC,107,154.8,331,,24,110.4,173.4,331,14.8,18,36,,1,14.2,20.4,36,0,0,0,1,5,2,7,584,452,,0,626,501,189
WC1N1NN,WC1N 1NN,WC,79.7,75.4,107,,,75.4,75.4,,19.4,15.5,20,,,15.5,15.5,,0,0,0,0,8,0,8,528,327,,,528,528,
WC1N1NX,WC1N 1NX,WC,16.5,16.2,22.84,8,17.2,,,,1.1,1.1,1.23,1,1.1,,,,0,0,3,26,0,0,0,183,129,4,168,,,
WC1N1NY,WC1N 1NY,WC,18.6,17.7,20.09,,17.7,,,,1.2,1.1,1.24,,1.1,,,,0,0,0,10,0,0,0,197,140,,197,,,
WC1N1NZ,WC1N 1NZ,WC,15,14.4,22.51,6.3,16.5,,,,1.1,1,1.24,0.8,1,,,,0,2,4,23,0,0,0,236,138,138,242,,,
WC1N1PB,WC1N 1PB,WC,76.2,93.6,205,,,93.6,93.6,,19.5,17.6,21,,,17.6,17.6,,0,0,0,0,13,0,13,195,113,,,195,195,
WC1N1PE,WC1N 1PE,WC,107,134.5,331,,,112.7,134.5,331,19.3,17.5,36,,,15.4,17.5,36,0,0,0,0,9,1,10,196,112,,,131,118,0
WC1N1QE,WC1N 1QE,WC,16.7,14.6,19.51,4,16,,,,1.1,1,1.25,0.5,1,,,,1,0,1,16,0,0,0,270,168,338,227,,,
WC1N1QF,WC1N 1QF,WC,14.4,15.3,39.87,8,14.9,40,40,,1.1,1.5,10,1,1.1,10,10,,0,0,2,22,1,0,1,254,97,31,275,234,234,
WC1N1QG,WC1N 1QG,WC,15.7,18,75.98,6,16.3,76,76,,1.1,2.2,19.98,0.7,1.1,20,20,,0,2,1,13,1,0,1,170,79,102,175,307,307,
WC1N2AA,WC1N 2AA,WC,107,307.3,1096,,21,139.7,378.8,1096,10,18.2,49,,1,13.7,22.5,49,0,0,0,1,3,1,4,257,231,,131,385,289,0
WC1N2AD,WC1N 2AD,WC,58.5,68.6,205,,22,71.7,71.7,,14.8,14.6,21,,1,15.5,15.5,,0,0,0,1,15,0,15,337,221,,67,355,355,
WC1N2AH,WC1N 2AH,WC,69.6,96.6,460,,,72.3,96.6,460,14.2,15.8,36,,,14.5,15.8,36,0,0,0,0,15,1,16,316,145,,,266,297,756
