postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E47LD,E4 7LD,E,107,117.2,205,,22,133,133,,10,12.6,21,,1,14.5,14.5,,0,0,0,2,12,0,12,433,367,,179,440,440,
E47LG,E4 7LG,E,47.5,137.5,1096,,25.2,80.4,156.7,614.6,9.6,14.6,49,,4.7,12.4,16.3,39.8,0,0,0,6,30,5,35,855,455,,730,883,803,325
E47LH,E4 7LH,E,91.3,156.7,460,,30,93.1,165.1,363.3,16.7,19.5,36,,14,14,19.9,36,0,0,0,1,11,4,15,348,241,,222,267,357,604
E47LJ,E4 7LJ,E,57.7,97.3,331,,30,85.4,101.8,331,10,11.9,36,,6,10.6,12.3,36,0,0,0,1,14,1,15,632,438,,300,542,612,1595
E47LL,E4 7LL,E,76.3,85.3,205,,17,91,91,,19.5,17.3,21,,1,18.6,18.6,,0,0,0,1,12,0,12,661,479,,0,716,716,
E47LN,E4 7LN,E,60.8,110,460,8,,82.4,115.4,395.5,15.6,15.7,36,1,,14.2,16.5,36,0,0,1,0,17,2,19,442,233,1098,,294,361,932
E47LP,E4 7LP,E,52,124.7,593,8.5,19.7,100.7,178.3,527.5,6.8,10.9,39,1,2,10.4,15.5,38.3,0,0,2,9,18,4,22,452,250,76,492,378,326,91
E47LQ,E4 7LQ,E,72.9,142.6,593,,26,77.3,154.2,462,15.3,18.1,39,,17,13.5,18.3,37.5,0,0,0,1,8,2,10,515,503,,1156,446,399,210
E47LR,E4 7LR,E,38.1,84,593,4,21.5,80.1,114.3,593,7.5,8.4,39,0,3.3,8.9,10.9,39,0,1,0,6,14,1,15,248,118,0,213,245,229,0
E47LS,E4 7LS,E,46.3,130.5,1096,,16.7,74.9,164.7,673.3,7.4,11.3,49,,1.7,9.4,14.2,41.3,0,0,0,6,17,3,20,419,304,,85,467,477,533
E47LW,E4 7LW,E,43.4,81.9,593,6.5,22.5,70.3,93.3,462,7.9,9.5,39,0.5,2.8,9.2,10.9,37.5,0,0,2,4,32,2,34,362,227,176,102,406,383,2
E47LY,E4 7LY,E,76.6,107.9,460,5,19.7,100.4,122.2,460,19.8,16.1,36,0.5,3,17.1,18.2,36,1,0,1,3,31,2,33,530,494,83,488,569,561,428
E47LZ,E4 7LZ,E,78.8,131.4,1096,8,16,94.8,139.6,587.8,20,18.6,49,1,1,17.8,19.8,40,0,0,2,1,40,4,44,353,269,156,204,374,358,198
E47NB,E4 7NB,E,39.8,38.2,52.46,,15.7,43.8,43.8,,6.2,5.7,9.99,,1,6.8,6.8,,0,0,0,3,12,0,12,111,30,,186,83,83,
E47ND,E4 7ND,E,39.8,45.7,107,,16.2,55.5,55.5,,7.6,6.3,10,,1.2,8,8,,0,0,0,5,15,0,15,71,46,,79,68,68,
E47NE,E4 7NE,E,39.8,33.9,57.17,,15.4,47.5,47.5,,6.8,5,10,,1,7.9,7.9,,0,0,0,8,11,0,11,36,20,,47,27,27,
E47NF,E4 7NF,E,39.8,57.5,205,,16,63.9,63.9,,7.9,8,21,,1,9.1,9.1,,0,0,0,2,13,0,13,131,28,,90,138,138,
E47NG,E4 7NG,E,88.1,157.3,593,6,19,113.5,179.8,428.8,16.5,17.1,39,1,4.5,14.6,19.3,36.8,0,0,1,2,15,4,19,551,318,16,606,577,515,283
