postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
N76FR,N7 6FR,N,45.6,44.9,74.46,10,20.7,50.2,50.2,,10,11,20,1,7.3,11.9,11.9,,0,0,1,6,34,0,34,569,555,836,899,503,503,
N76FS,N7 6FS,N,14.2,13.7,16.56,10,14.6,,,,1,1,1.09,1,1,,,,0,0,1,5,0,0,0,573,670,893,508,,,
N76GR,N7 6GR,N,76.6,65.7,79.91,7,,71.6,71.6,,19.5,16,20,1,,17.6,17.6,,0,0,1,0,10,0,10,547,440,523,,549,549,
N76HB,N7 6HB,N,79.7,112.6,1096,6.7,15,94.5,125.5,713.5,19.5,15.3,49,1,1,15.8,17.1,42.5,0,1,2,2,38,2,40,376,262,49,235,373,360,126
N76HS,N7 6HS,N,107,119.8,331,,,103.5,119.8,331,14.8,15.9,36,,,14.3,15.9,36,0,0,0,0,13,1,14,613,591,,,522,525,570
N76HT,N7 6HT,N,68.8,62.2,107,,18,73.4,73.4,,19.5,14.4,20,,1,17.8,17.8,,0,0,0,2,8,0,8,453,586,,57,552,552,
N76JA,N7 6JA,N,142.5,141.9,205,,,141.8,141.8,,20.5,20.5,21,,,20.5,20.5,,0,0,0,0,6,0,6,517,543,,,517,517,
N76JD,N7 6JD,N,78.1,94.7,331,7,,88.3,98.4,331,19.5,16.7,36,1,,16.5,17.3,36,0,0,1,0,23,1,24,460,393,9,,454,460,603
N76JG,N7 6JG,N,78.9,113.1,331,,15.7,93,127,331,11.4,15.4,36,,1,14.3,17.4,36,0,0,0,3,18,3,21,916,270,,314,419,1001,4495
N76JH,N7 6JH,N,77.2,75.3,107,10,,88.4,88.4,,13.5,12.9,20,1,,15.4,15.4,,0,0,1,0,5,0,5,449,438,166,,506,506,
N76JJ,N7 6JJ,N,107,140.4,205,,,140.4,140.4,,18.9,16.2,21,,,16.2,16.2,,0,0,0,0,5,0,5,566,395,,,566,566,
N76JL,N7 6JL,N,79.7,128.9,593,,19.7,99.6,145.2,405.9,19.9,17.3,39,,1.1,16.6,19.7,36.9,0,0,0,7,40,7,47,737,465,,533,802,721,255
N76JN,N7 6JN,N,79.8,193.6,1000,,17,91.6,199.7,875,19.5,17.6,20,,1,12.6,10.9,0,0,0,0,1,25,4,29,607,562,,476,418,360,0
N76JP,N7 6JP,N,39.5,60.8,331,6,19.4,66.8,96.1,331,9.9,9.3,36,0.5,1,13.4,15.9,36,0,1,1,5,8,1,9,599,530,176,580,676,703,924
N76JS,N7 6JS,N,100,270.7,1000,,19.6,116.7,377.3,833.3,1.2,1.1,1.28,,1.1,0,0,0,0,0,0,14,21,12,33,286,150,,245,0,0,0
N76JT,N7 6JT,N,100,161,1000,3,17.5,112.4,215.7,777.8,1.2,1.5,9.76,1,1.1,0.2,0.2,0,0,1,0,21,49,9,58,254,210,12,208,19,16,0
N76JU,N7 6JU,N,107,106.5,331,,,87.8,106.5,331,10,15,36,,,13.3,15.1,36,0,0,0,0,12,1,13,778,984,,,622,659,1103
N76JW,N7 6JW,N,100,216.4,1000,7,17.7,109.4,295,875,1.1,1,1.27,1,1.1,0,0,0,0,0,1,12,25,8,33,384,314,25,414,0,0,0
N76JX,N7 6JX,N,79.7,103.5,205,,21,113.9,113.9,,19.5,16.9,21,,1,18.9,18.9,,0,0,0,1,8,0,8,604,626,,999,480,480,
N76LF,N7 6LF,N,76.3,72,79.91,,,72,72,,20,18.5,20,,,18.6,18.6,,0,0,0,0,7,0,7,728,718,,,728,728,
N76LJ,N7 6LJ,N,23.5,41,79.67,,15,68.4,68.4,,1.3,8.7,20,,1,16.8,16.8,,0,0,0,19,18,0,18,910,863,,744,1034,1034,
N76LR,N7 6LR,N,107,83.9,107,,23,96,96,,10,7.7,10,,1,9,9,,0,0,0,1,5,0,5,200,179,,195,121,121,
N76NE,N7 6NE,N,76.9,67,107,7,13,75.1,75.1,,19.5,15.9,20,1,1,18.1,18.1,,0,0,1,1,14,0,14,415,250,15,0,444,444,
N76NJ,N7 6NJ,N,78.1,75.1,205,4,14.5,86.6,86.6,,10,13.2,21,0.5,1,15.5,15.5,,1,0,1,6,44,0,44,334,235,33,156,342,342,
N76PB,N7 6PB,N,13.3,68.8,205,5.4,12.2,143.8,143.8,,1.2,6.8,21,0.8,1,14.1,14.1,,1,1,3,5,8,0,8,260,275,132,355,216,216,
N76PD,N7 6PD,N,79.5,90.8,460,7.1,11,122.3,148.3,460,7.5,8.5,36,0.8,1,11.9,13.8,36,1,1,6,1,12,1,13,280,246,232,154,268,298,666
N76PE,N7 6PE,N,107,90.7,205,9,,131.5,131.5,,10,8.8,21,1,,12.8,12.8,,0,0,2,0,4,0,4,244,238,232,,189,189,
N76PG,N7 6PG,N,107,126.2,593,8,13.2,105.8,187.8,461.3,10,10.9,39,1,1,10.1,16.3,37,0,0,2,5,10,3,13,558,556,7,681,575,509,289
N76PH,N7 6PH,N,107,84.7,205,7.8,,146.2,146.2,,10,8.5,21,1,,14.4,14.4,,0,0,4,0,5,0,5,305,178,222,,250,250,
N76PJ,N7 6PJ,N,107,159.5,460,6.3,11,126.6,235.5,417,10,14.4,36,1,1,12.2,21.1,36,1,0,2,1,5,3,8,405,308,252,433,486,358,143
N76PZ,N7 6PZ,N,52,56.3,107,7,,93.3,93.3,,5,5.4,10,1,,8.8,8.8,,0,1,2,0,4,0,4,182,174,164,,59,59,
N76QA,N7 6QA,N,10.7,57.7,205,6.8,14.7,128.8,128.8,,1.1,5.6,21,0.9,1,12.4,12.4,,1,2,7,3,9,0,9,384,226,41,230,475,475,
N76QJ,N7 6QJ,N,107,104.1,331,7.6,19,126.9,167.7,331,10,10.6,36,0.8,1,12.3,17.1,36,0,0,9,1,12,3,15,363,313,113,795,361,339,252
N76QL,N7 6QL,N,107,149.2,593,5.3,,125.7,193,435,10,13.6,39,0.9,,12.2,17.5,36.6,1,2,4,0,18,5,23,507,343,323,,498,453,290
N76QN,N7 6QN,N,107,127.1,460,6,,139.7,164.3,460,10,12,36,1,,13.7,15.4,36,1,0,3,0,12,1,13,328,303,45,,329,340,469
N76QP,N7 6QP,N,107,163.6,1096,7.4,,139.7,231.5,562.2,10,13.7,49,1,,13.7,19.2,39.2,0,2,8,0,18,5,23,536,512,340,,531,552,628
N76QR,N7 6QR,N,107,138.7,331,6,11,139.7,174.5,331,10,14.1,36,0.5,1,13.7,17.7,36,0,0,2,1,9,2,11,682,396,62,396,896,759,142
N76QS,N7 6QS,N,107,110,205,8,,117.8,117.8,,10,10.6,21,1,,11.3,11.3,,0,0,1,0,13,0,13,410,303,114,,401,401,
N76QT,N7 6QT,N,107,133.5,460,6.8,10,165.8,243.9,374,10,13.2,36,1,1,16.6,23.9,36,0,2,4,1,5,3,8,491,283,256,41,638,723,864
N76RA,N7 6RA,N,78.1,96.9,331,8,18.9,104.9,124.6,331,10,12.5,36,0,1.1,14.6,16.5,36,0,0,1,7,21,2,23,568,380,0,286,602,654,1193
N76RB,N7 6RB,N,93.5,100.1,205,,23,115.4,115.4,,14.8,13.6,21,,1,16.2,16.2,,0,0,0,1,5,0,5,341,373,,52,399,399,
N76RE,N7 6RE,N,93.3,139.5,593,,15.5,97.3,151.9,461.3,15.9,16.7,39,,1,14.9,18.3,37,0,0,0,2,17,3,20,493,431,,372,412,455,703
N76RG,N7 6RG,N,76.3,86.4,593,,21.7,84.8,99.8,593,10,12.5,39,,1.1,14,14.8,39,0,0,0,7,33,1,34,656,284,,474,596,578,0
N76RN,N7 6RN,N,78.7,107.7,331,,11,76,127,331,14.8,16,36,,1,15,19.2,36,0,0,0,1,4,1,5,766,654,,654,709,635,340
N76RP,N7 6RP,N,73.7,116.2,460,,20,66.6,132.2,460,10.8,15.3,36,,1,14,17.7,36,0,0,0,1,5,1,6,707,474,,12,933,822,269
N76RR,N7 6RR,N,78.5,115.9,593,,16.5,103.8,124.2,593,13.3,14.8,39,,0.5,15,16,39,0,0,0,2,23,1,24,482,329,,176,509,488,0
N76RS,N7 6RS,N,54.8,76.3,460,,20,72.5,86.4,460,10,11.9,36,,1,13,13.8,36,0,0,0,5,27,1,28,555,507,,341,584,574,309
N76RT,N7 6RT,N,79.3,81.5,331,8.5,20.2,92.1,104.1,331,10,12.6,36,1,3.2,15.1,16.1,36,0,0,2,5,19,1,20,471,455,134,307,504,522,871
N76RU,N7 6RU,N,79.4,99,460,3.5,20,83.1,109.6,374,10,14.4,36,1,1,14.1,16.1,36,1,0,1,2,30,3,33,585,314,110,110,555,589,929
N76RX,N7 6RX,N,107,101.8,460,2,27,93,109.7,460,10,13.4,36,1,13,13,14,36,1,0,0,1,21,1,22,661,666,11,438,628,670,1568
N76RY,N7 6RY,N,78.1,81.9,205,,16,84.7,84.7,,19.5,15.1,21,,1,15.7,15.7,,0,0,0,1,24,0,24,550,461,,40,548,548,
N76RZ,N7 6RZ,N,78.1,82.1,331,,20.9,99.7,107,331,10,11.5,36,,1.8,14.8,15.5,36,0,0,0,13,31,1,32,445,272,,462,432,424,155
N77AT,N7 7AT,N,150,257.1,1000,8,11.3,132.3,277.3,722.1,10,11.1,36,1,1,2,2.1,2.4,0,0,1,4,46,15,61,412,343,228,379,25,32,55
N77AY,N7 7AY,N,75.8,71.3,79.67,,,71.3,71.3,,19.5,17.8,20,,,17.8,17.8,,0,0,0,0,19,0,19,951,846,,,900,900,
N77BA,N7 7BA,N,107,95.8,205,5,10,121,121,,10,9.1,21,1,1,11.6,11.6,,0,0,1,1,7,0,7,295,274,0,312,292,292,
N77BE,N7 7BE,N,72.3,112.6,593,3,15.3,93.3,122.1,396.5,10,14.2,39,1,2.3,13.1,15.4,36.8,0,1,0,3,38,4,42,550,455,13,161,482,525,935
N77BF,N7 7BF,N,18.3,16.4,18.69,,16.4,,,,1,1.1,1.25,,1.2,,,,0,0,0,5,0,0,0,735,660,,735,,,
N77BG,N7 7BG,N,107,108.7,331,6,,95.4,119,331,10,14.3,36,1,,13.4,15.7,36,0,1,1,0,18,2,20,358,284,68,,346,369,582
N77BH,N7 7BH,N,107,126.6,593,6,14.8,112,146.1,462,10,14.3,39,3.5,1.2,14.1,16.4,37.5,0,0,2,5,37,4,41,336,263,338,398,290,287,266
N77BJ,N7 7BJ,N,107,145.6,593,9,22,106.9,154.6,383.4,10,16.7,39,1,1,13.8,17.8,36.6,0,0,1,1,24,5,29,537,295,87,211,475,508,667
N77BL,N7 7BL,N,60.6,60.7,79.91,,17,63.9,63.9,,19.5,14.8,20,,1,15.7,15.7,,0,0,0,1,14,0,14,686,713,,0,735,735,
N77BP,N7 7BP,N,16.1,29.4,107,,16.5,107,107,,1.2,2.3,10,,1,10,10,,0,0,0,6,1,0,1,483,513,,397,998,998,
N77BQ,N7 7BQ,N,107,158.6,460,,16,109.9,167.5,417,16.7,17.6,36,,1,14.6,18.6,36,0,0,0,1,13,3,16,501,409,,578,499,465,319
N77BS,N7 7BS,N,107,108.4,331,,17.7,111.9,126.5,331,10,11.1,36,,1.3,11.5,13.1,36,0,0,0,3,14,1,15,539,439,,581,453,423,0
N77BT,N7 7BT,N,107,136.4,593,,15.3,117.9,180.5,462,10,12,39,,1,11.2,16,37.5,0,0,0,4,9,2,11,374,269,,284,385,372,316
N77BW,N7 7BW,N,13.9,54.1,205,8,12.6,109.5,109.5,,1.1,6.3,21,1,1,12.9,12.9,,0,0,12,8,16,0,16,506,400,527,536,412,412,
N77BY,N7 7BY,N,100,155.7,1000,5.7,,109.6,193.2,666.7,0.9,1.3,7.66,0.9,,0.2,0.1,0,0,5,10,0,51,9,60,344,285,289,,16,14,0
N77DD,N7 7DD,N,17,75.3,460,8.7,15.8,172.3,244.3,460,1.1,6.6,36,1,1,17.3,22,36,0,0,3,8,3,1,4,346,235,202,364,441,331,0
N77DF,N7 7DF,N,150,156.7,1000,6.3,11.6,127.8,210.6,583.3,0.9,0.9,1.12,0.9,1,0,0,0,0,1,6,5,27,6,33,461,389,295,694,0,0,0
N77DX,N7 7DX,N,6.1,6.8,11,5.8,10.7,,,,0.9,0.9,1.1,0.9,1,,,,0,4,9,3,0,0,0,761,716,580,1548,,,
N77DY,N7 7DY,N,63,57.9,78.12,,21,63.1,63.1,,7.8,8.2,19.53,,1,9.1,9.1,,0,0,0,1,7,0,7,810,671,,368,873,873,
N77DZ,N7 7DZ,N,41.5,50.9,78.12,,18,59,59,,10,9.9,17.08,,1,12,12,,0,0,0,1,4,0,4,326,284,,410,305,305,
N77EG,N7 7EG,N,78.1,62.3,79.91,,23,66.2,66.2,,19.5,15.1,20,,8,15.9,15.9,,0,0,0,1,10,0,10,575,265,,94,623,623,
N77EH,N7 7EH,N,77.6,66.5,79.67,,17,70.9,70.9,,19.9,16.6,20,,1,18.1,18.1,,0,0,0,1,11,0,11,452,310,,181,476,476,
