postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SE186RL,SE18 6RL,SE,78.1,141,1096,,18.2,98.6,171.8,586,19.5,17,49,,1.8,17.4,20.9,40.3,0,0,0,5,17,3,20,504,316,,405,522,504,401
SE186RN,SE18 6RN,SE,73.3,97.1,331,,24,96.1,110.8,331,14,14.4,36,,3,15.3,16.6,36,0,0,0,3,15,1,16,711,734,,1376,616,586,138
SE186RP,SE18 6RP,SE,54.8,56.7,160.01,8,18.4,68.7,68.7,,10,12.4,30.01,1,1.2,15.8,15.8,,0,0,1,5,20,0,20,310,199,199,294,319,319,
SE186RR,SE18 6RR,SE,75.4,90.8,331,,20.2,98.9,114.3,331,14.8,13.8,36,,1.2,16.7,18,36,0,0,0,5,14,1,15,473,302,,191,566,536,122
SE186RS,SE18 6RS,SE,79.7,72,79.76,6,,78.6,78.6,,20,18.2,20,1,,19.9,19.9,,0,0,1,0,10,0,10,507,179,0,,405,405,
SE186RU,SE18 6RU,SE,69,56.9,79.67,,17.5,67.4,67.4,,19,13.7,20,,1.1,17.1,17.1,,0,0,0,8,30,0,30,612,490,,373,676,676,
SE186RY,SE18 6RY,SE,78.3,89.3,217.22,,13,114.8,114.8,,19.8,17.3,29.99,,1,22.7,22.7,,0,0,0,2,6,0,6,1018,1114,,1248,942,942,
SE186SA,SE18 6SA,SE,78.1,120.8,1096,8,16.3,95.9,139.4,1096,10,15.1,49,1,1,16.1,17.5,49,0,0,1,3,22,1,23,690,666,16,1050,609,582,0
SE186SB,SE18 6SB,SE,66.8,98,460,,,67.8,98,460,19.5,15.7,36,,,14,15.7,36,0,0,0,0,12,1,13,869,948,,,787,802,986
SE186SD,SE18 6SD,SE,72.6,63.6,107,,16,67.6,67.6,,10,13.6,23.1,,1,14.7,14.7,,0,0,0,1,12,0,12,341,243,,199,353,353,
SE186SE,SE18 6SE,SE,78.1,99.4,185.95,,,99.4,99.4,,19.5,19.9,30.67,,,19.9,19.9,,0,0,0,0,7,0,7,1291,1101,,,1291,1291,
SE186SF,SE18 6SF,SE,79.7,118.2,319.13,,,93,118.1,319,20,24.3,49.94,,,21,24.2,50,0,0,0,0,8,1,9,1085,910,,,1088,1085,1063
SE186SG,SE18 6SG,SE,79.6,88.6,158.98,,16,99,99,,20,19.7,29.97,,1,22.3,22.3,,0,0,0,1,7,0,7,1321,1131,,429,1449,1449,
SE186SH,SE18 6SH,SE,78.1,80,328.59,6,18,68.8,92.5,329,20,17,49.96,0,1,16.9,19.9,50,0,0,1,1,10,1,11,848,581,540,588,504,900,4863
SE186SL,SE18 6SL,SE,78.1,75.1,158.97,,19,87.7,87.7,,19.5,16.9,30.01,,3.5,19.9,19.9,,0,0,0,2,9,0,9,639,381,,125,753,753,
SE186SN,SE18 6SN,SE,79.7,93.4,154.22,,,93.4,93.4,,20,21.1,30.01,,,21.1,21.1,,0,0,0,0,8,0,8,638,386,,,558,558,
SE186SQ,SE18 6SQ,SE,14.8,14.5,20.42,7,17,,,,1.1,1,1.24,0.5,1.2,,,,0,1,1,6,0,0,0,927,524,248,1154,,,
SE186SU,SE18 6SU,SE,31,37.6,75.41,2,19.4,53.2,53.2,,7.2,8.6,19.98,1,3.5,12.9,12.9,,0,1,0,17,22,0,22,400,367,152,310,444,444,
SE186SY,SE18 6SY,SE,71.5,58.9,140.09,7,15.8,78,78,,15,12.8,20,1,4.3,16.8,16.8,,0,0,2,6,19,0,19,887,702,107,699,1029,1029,
SE186SZ,SE18 6SZ,SE,85.6,115.3,460,8,17.5,139.7,193.5,395.5,10,11.4,36,1,1.5,14.7,19.2,36,0,0,2,13,15,4,19,659,599,684,459,779,758,680
SE186TA,SE18 6TA,SE,76.3,63,79.67,8,14.5,73.9,73.9,,19.5,15.4,20,1,1,18.4,18.4,,0,0,1,2,14,0,14,515,417,641,182,554,554,
