postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
W39RN,W3 9RN,W,78.9,74.5,205,,21,82.9,82.9,,12.5,13.5,21,,1,15.5,15.5,,0,0,0,3,19,0,19,453,405,,281,480,480,
W39RP,W3 9RP,W,77.3,69.5,107,6,,76.6,76.6,,14.8,14.2,19.98,4,,15.3,15.3,,0,0,1,0,9,0,9,526,442,255,,556,556,
W39RQ,W3 9RQ,W,63.8,101.3,331,,20,75.4,120.5,331,11.4,14.5,36,,4.3,12.9,16.9,36,0,0,0,4,14,3,17,417,356,,262,414,453,639
W39RY,W3 9RY,W,80,118.6,331,8,,92.3,126.4,331,18.5,17,36,1,,15.2,18.1,36,0,0,1,0,12,2,14,320,330,119,,305,334,511
W39RZ,W3 9RZ,W,79.7,148.9,593,,23.5,103.1,162.8,461.3,20,19.4,39,,1,18.3,21.4,37,0,0,0,2,15,3,18,298,187,,113,294,302,341
W39SA,W3 9SA,W,77.1,91.5,205,,20,105.6,105.6,,19,15,21,,1,17.8,17.8,,0,0,0,1,5,0,5,378,338,,11,376,376,
W39SD,W3 9SD,W,75.9,61.6,79.91,,23,67,67,,18.3,14.7,20,,1,16.7,16.7,,0,0,0,1,7,0,7,234,211,,252,231,231,
W39SE,W3 9SE,W,79.7,106.4,331,,,96.2,106.4,331,20,18.3,36,,,17.5,18.3,36,0,0,0,0,22,1,23,669,435,,,662,669,829
W39SF,W3 9SF,W,80,126.5,331,,14,105.3,133.5,331,20,18.4,36,,1,17.2,19.6,36,0,0,0,1,14,2,16,708,452,,8,660,752,1397
W39SG,W3 9SG,W,79.7,93,205,,,93,93,,20,18,21,,,18,18,,0,0,0,0,14,0,14,476,237,,,476,476,
W39SH,W3 9SH,W,78.9,73.1,79.95,,,73.2,73.2,,19.8,18,20,,,18,18,,0,0,0,0,6,0,6,532,501,,,533,533,
W39SJ,W3 9SJ,W,74.5,61.7,107,7,23,82.6,82.6,,10,10.4,20,0,3.8,14.1,14.1,,0,0,1,4,10,0,10,366,289,307,103,478,478,
W39SL,W3 9SL,W,79.5,89.2,205,7,21,103.7,103.7,,12.2,13.3,21,1,1,15.8,15.8,,0,0,1,2,15,0,15,307,238,36,255,291,291,
W39SN,W3 9SN,W,79.7,87.1,107,,,87.1,87.1,,19.5,16.7,20,,,16.7,16.7,,0,0,0,0,13,0,13,580,486,,,535,535,
W39SP,W3 9SP,W,107,199.4,1096,,,123.4,199.4,522.3,20,20.5,49,,,16.1,20.5,39.3,0,0,0,0,17,4,21,395,342,,,374,376,385
W39SQ,W3 9SQ,W,79.7,280.3,1096,,18,79,332.8,713.5,20,24.3,49,,1,20,29,42.5,0,0,0,1,3,2,5,510,52,,23,825,505,26
W39SS,W3 9SS,W,77.1,74.7,205,2,18,84,84,,20,15.7,21,0,1,17.8,17.8,,1,0,0,1,14,0,14,397,346,1,380,427,427,
W39ST,W3 9ST,W,78.1,74.7,107,,,74.7,74.7,,18.5,15.6,20,,,15.7,15.7,,0,0,0,0,7,0,7,466,405,,,399,399,
W39SW,W3 9SW,W,156,256.4,1096,,,136.4,256.4,1096,20.5,22.3,49,,,18.6,22.4,49,0,0,0,0,7,1,8,496,448,,,496,434,0
W39SZ,W3 9SZ,W,22.3,31.8,56.48,,20.8,54,54,,1.1,4.3,11.71,,1,10.5,10.5,,0,0,0,4,2,0,2,149,64,,170,107,107,
W41AB,W4 1AB,W,80,105.4,205,,,105.4,105.4,,20,16.7,21,,,16.7,16.7,,0,0,0,0,10,0,10,595,602,,,536,536,
