State,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
MP,0.336413514293965,8.804504764654924,1.008121859659255,0.999133699104822
AK,0.760059000080722,82.840487264348247,8.289923520044617,0.9508772959764
WV,0.840441711752663,79.099415990803938,8.493330945455913,0.936134532284763
ME,0.83588317686882,97.425515065615047,9.581881059178603,0.850204682263094
ID,0.83060567879869,67.135852301788106,13.149049106854274,0.983486642223434
AZ,0.840016012363034,97.509557486555511,15.805126262447595,0.980581596333293
HI,0.823678673103107,139.241963169259122,15.964189985009146,0.998115828416608
MT,0.821990421724695,67.172414022463009,17.143526565822447,0.991153436708286
CT,0.821852935782621,114.606450774826543,17.398689465721185,0.9921753216982
MS,0.812790917487186,81.054844909180273,17.507363733681885,0.876876211874889
GU,0.994963273871983,56.516264428121721,18.875871563483736,0.998321091290661
WI,0.852171669309021,100.144618911986255,19.183222630652327,0.809226546196976
OH,0.801992817457351,131.105291554995569,19.250634753113444,0.914798956431365
VT,0.829647576491766,98.048313067352755,22.575740298466756,0.965866785459405
NH,0.803842416535707,126.783037452464641,23.084082918461114,0.890437745174486
OK,0.861147046593938,74.466141999622568,23.501239274594458,0.809752151178897
MI,0.813038215443871,132.875388549374206,24.051247389476151,0.883530067825607
NE,0.859802236712522,73.712445452538645,25.018729676068213,0.867010419480057
PR,0.927649824970296,102.720877445737749,25.478570005035622,0.961641034691024
IL,0.853363685834017,122.15599179191718,25.856593420332753,0.855052532610115
WY,0.831819422776911,74.145180877535101,26.632791185647426,0.998751950078003
CA,0.828118471132466,123.513684527293938,28.78628513954428,0.870476751181185
AR,0.824525873232552,86.235447853358077,30.245927654652275,0.89689458894733
FL,0.831204008141537,147.770511569738276,31.085694391349776,0.892118557145733
MO,0.834491215407077,98.834925571285618,33.281582482898342,0.870475647566397
TX,0.824156659190017,116.464796361606648,33.57899616291996,0.904814208737529
NM,0.835322936984073,77.203033413139334,33.894004731047616,0.980893703953632
OR,0.844885542511427,107.587700188518216,35.20051954785973,0.935906840897453
AL,0.823375621632754,128.98318588442714,36.183561903537551,0.893040467947953
SC,0.821616724689064,148.194948819262012,37.891086823576316,0.899056157137467
IN,0.858905581718669,129.323611348775629,38.101631635103591,0.907758891121681
VA,0.818652549616006,128.264431650473591,38.618064813382688,0.935961198240339
KS,0.859930574501802,94.099255375542024,39.552680137690035,0.8433973216618
WA,0.854811280543498,129.423680419395901,39.785420868889488,0.964201729892106
NV,0.786700760599919,114.94425976152857,41.416003844872604,0.93578913870015
LA,0.831469479409159,126.884254300488247,42.233107296512227,0.871359057291774
IA,0.859039665471209,100.719043222531639,43.337694975786744,0.82748675673978
PA,0.784634990817214,171.850482131879331,43.540716170366024,0.985735732839657
NC,0.844740846249526,156.624621125886015,44.163666217666535,0.845307221231424
MD,0.802124568626438,155.059580189833078,46.083621290474468,0.973053579323928
DE,0.813150929557703,171.325693472368379,48.148504556905514,0.975305334991549
KY,0.837849094500118,142.620496431405255,48.175943303779984,0.890291172604866
GA,0.810786241578286,143.569764313324405,48.268936715597352,0.848899425902102
MA,0.813630071504507,196.806106739666426,49.222460136157256,0.991755409408533
CO,0.841908392918016,131.43661369299518,51.923328451739616,0.984414558203288
SD,0.838557112131388,110.609592072488223,54.947356485763778,0.991217399266373
NY,0.811130082702543,173.764383615561306,66.938832717196319,0.987759544419407
NJ,0.64541595885571,149.06138421772655,70.999150020044894,0.998937698596545
DC,0.713757966954898,262.649017578045711,87.897624649859944,0.956440547233386
MN,0.851896905735579,163.138821639443691,90.362306086036535,0.989799222244137
TN,0.836844158123631,195.029064389679449,93.366586106650892,0.846922231828849
AS,0.992957746478873,96.761765258215962,96.659136150234742,0.982394366197183
RI,0.818966080221517,247.434240821284432,98.14427175006204,0.923474785470789
VI,0.648014483432192,127.976607351294695,108.349207937301984,1
ND,0.814569630361978,220.210010726438927,145.523116587965452,0.999665242054109
UT,0.822115865796292,242.111687593830277,169.134020473071406,0.990559979093224
